

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Austria",11,"Total population",4104,1962,7157.0,"E","",""
"Austria",11,"Total population",4104,1967,7397.0,"E","",""
"Austria",11,"Total population",4104,1972,7581.0,"E","",""
"Austria",11,"Total population",4104,1977,7637.0,"E","",""
"Austria",11,"Total population",4104,1982,7602.0,"E","",""
"Austria",11,"Total population",4104,1987,7639.0,"E","",""
"Austria",11,"Total population",4104,1992,7831.0,"E","",""
"Austria",11,"Total population",4104,1997,8033.0,"E","",""
"Austria",11,"Total population",4104,2002,8134.0,"E","",""
"Austria",11,"Total population",4104,2007,8312.0,"E","",""
"Austria",11,"Total population",4104,2012,8518.0,"E","",""
"Austria",11,"Total population",4104,2017,8735.0,"E","",""
"Austria",11,"Rural population",4105,1962,2527.0,"E","",""
"Austria",11,"Rural population",4105,1967,2596.0,"E","",""
"Austria",11,"Rural population",4105,1972,2644.0,"E","",""
"Austria",11,"Rural population",4105,1977,2667.0,"E","",""
"Austria",11,"Rural population",4105,1982,2660.0,"E","",""
"Austria",11,"Rural population",4105,1987,2655.0,"E","",""
"Austria",11,"Rural population",4105,1992,2700.0,"E","",""
"Austria",11,"Rural population",4105,1997,2760.0,"E","",""
"Austria",11,"Rural population",4105,2002,2809.0,"E","",""
"Austria",11,"Rural population",4105,2007,2840.0,"E","",""
"Austria",11,"Rural population",4105,2012,2943.0,"E","",""
"Austria",11,"Rural population",4105,2017,3036.0,"E","",""
"Austria",11,"Urban population",4106,1962,4630.0,"E","",""
"Austria",11,"Urban population",4106,1967,4801.0,"E","",""
"Austria",11,"Urban population",4106,1972,4937.0,"E","",""
"Austria",11,"Urban population",4106,1977,4970.0,"E","",""
"Austria",11,"Urban population",4106,1982,4942.0,"E","",""
"Austria",11,"Urban population",4106,1987,4984.0,"E","",""
"Austria",11,"Urban population",4106,1992,5131.0,"E","",""
"Austria",11,"Urban population",4106,1997,5273.0,"E","",""
"Austria",11,"Urban population",4106,2002,5325.0,"E","",""
"Austria",11,"Urban population",4106,2007,5472.0,"E","",""
"Austria",11,"Urban population",4106,2012,5575.0,"E","",""
"Austria",11,"Urban population",4106,2017,5699.0,"E","",""
"Austria",11,"Population density",4107,1962,85.32,"E","",""
"Austria",11,"Population density",4107,1967,88.19,"E","",""
"Austria",11,"Population density",4107,1972,90.38,"E","",""
"Austria",11,"Population density",4107,1977,91.05,"E","",""
"Austria",11,"Population density",4107,1982,90.63,"E","",""
"Austria",11,"Population density",4107,1987,91.07,"E","",""
"Austria",11,"Population density",4107,1992,93.36,"E","",""
"Austria",11,"Population density",4107,1997,95.77,"E","",""
"Austria",11,"Population density",4107,2002,96.97,"E","",""
"Austria",11,"Population density",4107,2007,99.09,"E","",""
"Austria",11,"Population density",4107,2012,101.5,"E","",""
"Austria",11,"Population density",4107,2017,104.1,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1962,7.75611021E9,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1967,1.1579431669E10,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1972,2.2006470861E10,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1977,5.142158563E10,"E","",""
