"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Austria","Total population (1000 inhab)",1962,7157.0,"E",,1967,7397.0,"E",,1972,7581.0,"E",,1977,7637.0,"E",,1982,7602.0,"E",,1987,7639.0,"E",,1992,7831.0,"E",,1997,8033.0,"E",,2002,8134.0,"E",,2007,8312.0,"E",,2012,8518.0,"E",,2017,8735.0,"E",
"Austria","Rural population (1000 inhab)",1962,2527.0,"E",,1967,2596.0,"E",,1972,2644.0,"E",,1977,2667.0,"E",,1982,2660.0,"E",,1987,2655.0,"E",,1992,2700.0,"E",,1997,2760.0,"E",,2002,2809.0,"E",,2007,2840.0,"E",,2012,2943.0,"E",,2017,3036.0,"E",
"Austria","Urban population (1000 inhab)",1962,4630.0,"E",,1967,4801.0,"E",,1972,4937.0,"E",,1977,4970.0,"E",,1982,4942.0,"E",,1987,4984.0,"E",,1992,5131.0,"E",,1997,5273.0,"E",,2002,5325.0,"E",,2007,5472.0,"E",,2012,5575.0,"E",,2017,5699.0,"E",
"Austria","Population density (inhab/km2)",1962,85.32,"E",,1967,88.19,"E",,1972,90.38,"E",,1977,91.05,"E",,1982,90.63,"E",,1987,91.07,"E",,1992,93.36,"E",,1997,95.77,"E",,2002,96.97,"E",,2007,99.09,"E",,2012,101.5,"E",,2017,104.1,"E",
"Austria","Gross Domestic Product (GDP) (current US$)",1962,7.75611021E9,"E",,1967,1.1579431669E10,"E",,1972,2.2006470861E10,"E",,1977,5.142158563E10,"E",,1982,7.1103585384E10,"E",,1987,1.24E11,"E",,1992,1.95E11,"E",,1997,2.12E11,"E",,2002,2.13E11,"E",,2007,3.86E11,"E",,2012,4.07E11,"E",,2015,3.74E11,"E",
"Austria","GDP per capita (current US$/inhab)",1962,1084.0,"E",,1967,1565.0,"E",,1972,2903.0,"E",,1977,6733.0,"E",,1982,9353.0,"E",,1987,16232.0,"E",,1992,24901.0,"E",,1997,26391.0,"E",,2002,26186.0,"E",,2007,46439.0,"E",,2012,47781.0,"E",,2015,42816.0,"E",
"Austria","Human Development Index (HDI) [highest = 1] (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.7935,"E",,,,"",,2000,0.8364,"E",,,,"",,2012,0.8839,"E",,2014,0.885,"E",
"Austria","Long-term average annual precipitation in depth (mm/year)",1962,1110.0,"E",,1967,1110.0,"E",,1972,1110.0,"E",,1977,1110.0,"E",,1982,1110.0,"E",,1987,1110.0,"E",,1992,1110.0,"E",,1997,1110.0,"E",,2002,1110.0,"E",,2007,1110.0,"E",,2012,1110.0,"E",,2017,1110.0,"E",
"Austria","Long-term average annual precipitation in volume (10^9 m3/year)",1962,93.11,"E",,1967,93.11,"E",,1972,93.11,"E",,1977,93.11,"E",,1982,93.11,"E",,1987,93.11,"E",,1992,93.11,"E",,1997,93.11,"E",,2002,93.11,"E",,2007,93.11,"E",,2012,93.11,"E",,2017,93.11,"E",
"Austria","Surface water produced internally (10^9 m3/year)",1962,55.0,"",,1967,55.0,"",,1972,55.0,"",,1977,55.0,"",,1982,55.0,"",,1987,55.0,"",,1992,55.0,"",,1997,55.0,"",,2002,55.0,"",,2007,55.0,"",,2012,55.0,"",,2017,55.0,"",
"Austria","Groundwater produced internally (10^9 m3/year)",1962,6.0,"",,1967,6.0,"",,1972,6.0,"",,1977,6.0,"",,1982,6.0,"",,1987,6.0,"",,1992,6.0,"",,1997,6.0,"",,2002,6.0,"",,2007,6.0,"",,2012,6.0,"",,2017,6.0,"",
"Austria","Overlap between surface water and groundwater (10^9 m3/year)",1962,6.0,"",,1967,6.0,"",,1972,6.0,"",,1977,6.0,"",,1982,6.0,"",,1987,6.0,"",,1992,6.0,"",,1997,6.0,"",,2002,6.0,"",,2007,6.0,"",,2012,6.0,"",,2017,6.0,"",
"Austria","Total internal renewable water resources (IRWR) (10^9 m3/year)",1962,55.0,"",,1967,55.0,"",,1972,55.0,"",,1977,55.0,"",,1982,55.0,"",,1987,55.0,"",,1992,55.0,"",,1997,55.0,"",,2002,55.0,"",,2007,55.0,"",,2012,55.0,"",,2017,55.0,"",
"Austria","Total internal renewable water resources per capita (m3/inhab/year)",1962,7685.0,"K",,1967,7435.0,"K",,1972,7255.0,"K",,1977,7202.0,"K",,1982,7235.0,"K",,1987,7200.0,"K",,1992,7023.0,"K",,1997,6847.0,"K",,2002,6762.0,"K",,2007,6617.0,"K",,2012,6457.0,"K",,2017,6297.0,"K",
"Austria","Water resources: total external renewable (10^9 m3/year)",1962,22.7,"I",,1967,22.7,"I",,1972,22.7,"I",,1977,22.7,"I",,1982,22.7,"I",,1987,22.7,"I",,1992,22.7,"I",,1997,22.7,"I",,2002,22.7,"I",,2007,22.7,"I",,2012,22.7,"I",,2017,22.7,"I",
"Austria","Total renewable surface water (10^9 m3/year)",1962,77.7,"",,1967,77.7,"",,1972,77.7,"",,1977,77.7,"",,1982,77.7,"",,1987,77.7,"",,1992,77.7,"",,1997,77.7,"",,2002,77.7,"",,2007,77.7,"",,2012,77.7,"",,2017,77.7,"",
"Austria","Total renewable groundwater (10^9 m3/year)",1962,6.0,"I",,1967,6.0,"I",,1972,6.0,"I",,1977,6.0,"I",,1982,6.0,"I",,1987,6.0,"I",,1992,6.0,"I",,1997,6.0,"I",,2002,6.0,"I",,2007,6.0,"I",,2012,6.0,"I",,2017,6.0,"I",
"Austria","Total renewable water resources per capita (m3/inhab/year)",1962,10857.0,"K",,1967,10504.0,"K",,1972,10249.0,"K",,1977,10174.0,"K",,1982,10221.0,"K",,1987,10171.0,"K",,1992,9922.0,"K",,1997,9673.0,"K",,2002,9552.0,"K",,2007,9348.0,"K",,2012,9122.0,"K",,2017,8895.0,"K",
"Austria","Total exploitable water resources (10^9 m3/year)",1962,93.0,"",,1967,93.0,"",,1972,93.0,"",,1977,93.0,"",,1982,93.0,"",,1987,93.0,"",,1992,93.0,"",,1997,93.0,"",,2002,93.0,"",,2007,93.0,"",,2012,93.0,"",,,,"",
"Austria","Total dam capacity (km3)",1960,0.3665,"L",,1965,0.7035,"L",,1970,1.321,"L",,1975,1.54,"L",,1980,1.898,"L",,1985,2.022,"L",,1990,2.128,"L",,1995,2.128,"L",,2000,2.128,"L",,2005,2.128,"L",,2010,2.128,"L",,2015,2.128,"L",
"Austria","Dam capacity per capita (m3/inhab)",1960,51.21,"K",,1965,95.11,"K",,1970,174.3,"K",,1975,201.6,"K",,1980,249.7,"K",,1985,264.7,"K",,1990,271.7,"K",,1995,264.9,"K",,2000,261.6,"K",,2005,256.0,"K",,2010,249.8,"K",,2015,243.6,"K",
"Austria","Agricultural water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,0.09,"E",,1985,0.2,"E",,1990,0.1,"E",,1997,0.1,"E",,2002,0.1,"E",,,,"",,2010,0.0771,"E",,,,"",
"Austria","Industrial water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,2.694,"E",,1985,2.671,"E",,1990,3.022,"E",,1997,2.857,"E",,1999,2.899,"E",,,,"",,2008,2.695,"E",,,,"",
"Austria","Municipal water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,0.5582,"E",,1985,0.7088,"E",,1990,0.6851,"E",,1997,0.6871,"E",,1999,0.6687,"E",,,,"",,2010,0.72,"E",,,,"",
"Austria","Total water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,3.342,"E",,1985,3.58,"E",,1990,3.807,"E",,1997,3.644,"E",,2002,3.668,"E",,,,"",,2010,3.492,"E",,,,"",
"Austria","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,1980,439.6,"E",,1985,468.6,"E",,1990,486.1,"E",,1997,453.6,"E",,2002,450.9,"E",,,,"",,2010,410.0,"E",,,,"",
"Austria","Environmental Flow Requirements (10^9 m3/year)",1962,41.51,"E",,1967,41.51,"E",,1972,41.51,"E",,1977,41.51,"E",,1982,41.51,"E",,1987,41.51,"E",,1992,41.51,"E",,1997,41.51,"E",,2002,41.51,"E",,2007,41.51,"E",,2012,41.51,"E",,2017,41.51,"E",

