"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total area of the country (excl. coastal waters) (1000 ha)","Afghanistan",1962,65286.0,"E",,1967,65286.0,"E",,1972,65286.0,"E",,1977,65286.0,"E",,1982,65286.0,"E",,1987,65286.0,"E",,1992,65286.0,"E",,1997,65286.0,"E",,2002,65286.0,"E",,2007,65286.0,"E",,2012,65286.0,"E",,2016,65286.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Albania",1962,2875.0,"E",,1967,2875.0,"E",,1972,2875.0,"E",,1977,2875.0,"E",,1982,2875.0,"E",,1987,2875.0,"E",,1992,2875.0,"E",,1997,2875.0,"E",,2002,2875.0,"E",,2007,2875.0,"E",,2012,2875.0,"E",,2016,2875.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Algeria",1962,238174.0,"E",,1967,238174.0,"E",,1972,238174.0,"E",,1977,238174.0,"E",,1982,238174.0,"E",,1987,238174.0,"E",,1992,238174.0,"E",,1997,238174.0,"E",,2002,238174.0,"E",,2007,238174.0,"E",,2012,238174.0,"E",,2016,238174.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Andorra",1962,47.0,"E",,1967,47.0,"E",,1972,47.0,"E",,1977,47.0,"E",,1982,47.0,"E",,1987,47.0,"E",,1992,47.0,"E",,1997,47.0,"E",,2002,47.0,"E",,2007,47.0,"E",,2012,47.0,"E",,2016,47.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Angola",1962,124670.0,"E",,1967,124670.0,"E",,1972,124670.0,"E",,1977,124670.0,"E",,1982,124670.0,"E",,1987,124670.0,"E",,1992,124670.0,"E",,1997,124670.0,"E",,2002,124670.0,"E",,2007,124670.0,"E",,2012,124670.0,"E",,2016,124670.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Antigua and Barbuda",1962,44.0,"E",,1967,44.0,"E",,1972,44.0,"E",,1977,44.0,"E",,1982,44.0,"E",,1987,44.0,"E",,1992,44.0,"E",,1997,44.0,"E",,2002,44.0,"E",,2007,44.0,"E",,2012,44.0,"E",,2016,44.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Argentina",1962,278040.0,"E",,1967,278040.0,"E",,1972,278040.0,"E",,1977,278040.0,"E",,1982,278040.0,"E",,1987,278040.0,"E",,1992,278040.0,"E",,1997,278040.0,"E",,2002,278040.0,"E",,2007,278040.0,"E",,2012,278040.0,"E",,2016,278040.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Armenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2974.0,"E",,1997,2974.0,"E",,2002,2974.0,"E",,2007,2974.0,"E",,2012,2974.0,"E",,2016,2974.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Australia",1962,774122.0,"E",,1967,774122.0,"E",,1972,774122.0,"E",,1977,774122.0,"E",,1982,774122.0,"E",,1987,774122.0,"E",,1992,774122.0,"E",,1997,774122.0,"E",,2002,774122.0,"E",,2007,774122.0,"E",,2012,774122.0,"E",,2016,774122.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Austria",1962,8388.0,"E",,1967,8388.0,"E",,1972,8388.0,"E",,1977,8388.0,"E",,1982,8388.0,"E",,1987,8388.0,"E",,1992,8388.0,"E",,1997,8388.0,"E",,2002,8388.0,"E",,2007,8388.0,"E",,2012,8388.0,"E",,2016,8388.0,"E",
